,Full_Names,Gender
0,Ngô Xuân Tùng,1
1,Bùi Dương Thảo Vy,0
2,Lưu Thế Huy,1
3,Nguyễn Thị Vân,0
4,Dương Minh Long,1
5,Trần Mai Khanh,0
6,Nguyễn Thị Hồng Diệp,0
7,Nguyễn Hoàng Khang,1
8,Thi Ngọc Thái,1
9,Nguyễn Anh Huy,1
10,Nguyễn Mai Tường Vy,0
11,Nguyễn Minh Nhật,1
12,Lê Trúc Quỳnh,0
13,Ngô Minh Đức,1
14,Hoàng Ngọc Tấn,1
15,Đào Minh Hiếu,1
16,Thạch Thị Kim Yến,0
17,Võ Thị Thanh,0
18,Phạm Thị Lệ Chi,0
19,Đỗ Tấn Nghĩa,1
20,Đinh Kim Dân,0
21,Huỳnh Lý Minh Chương,1
22,Lương Thị Việt,0
23,Đinh Xuân Việt,1
24,Bùi Đức Mạnh,1
25,Nguyễn Thị Yến Nhi,0
26,Nguyễn Quốc Khánh,1
27,TrỊnh Nhật Huy,1
28,Bùi Đức Trung,1
29,Trần Huỳnh Tiến Đạt,1
30,Nguyễn Ngọc Giàu,1
31,Đặng Quốc Duy,1
32,Bùi Thái Mỹ Linh,0
33,Võ Phúc,1
34,Võ Thị Yến Ngọc,0
35,Đinh Thị Trang,0
36,Nguyễn Văn Khánh,1
37,Nguyễn Minh Thông,1
38,Hồ Ngọc Hiếu Nhơn,1
39,Lê Minh Dương,1
40,Phan Thị Quỳnh Như,0
41,Phạm Võ Anh Hiếu,1
42,Nguyễn Văn Trọng,1
43,Hồ Thị Trang,0
44,Nguyễn Võ Anh Duy,1
45,Lương Thanh Ngôn,1
46,Cao Thiện Huân,1
47,Phạm Huy Hoàng,1
48,Nguyễn Thị Thúy Kiều,0
49,Phạm Đình Đức,1
50,Trương Thị Diệu Hiền,0
51,Trần Giang Đại Nghĩa,1
52,Hoàng Nguyễn Thu Thủy,0
53,Lê Thị Khảo Xương,0
54,Nguyễn Đoàn Anh Tú,1
55,Chướng Sec Váy,1
56,Nguyễn Huỳnh Duyên,0
57,Phan Quốc Anh,1
58,Đào Ngọc Mỹ Uyên,0
59,Nguyễn Tiến Nam,1
60,Trần Thị Thanh Thanh,0
61,Lê Thị Thùy Linh,0
62,Nguyễn Hoàng Thiên Phước,1
63,Trần Quang Tuấn,1
64,Nguyễn Thị Thanh Tuyền,0
65,Phan Xuân Tùng,1
66,Biện Ngô Huy Phong,1
67,Nguyễn Thị Ngọc Giàu,0
68,Trần Như Minh,1
69,Lê Thanh Quí,1
70,Nguyễn Trọng Tài,1
71,Lê Công Danh,1
72,Vũ Trương Quang Hào,1
73,Nguyễn Hữu Tài,1
74,Đặng Thành Đạt,1
75,Nguyễn Thị Bích Trúc,0
76,Võ Thành Trung Dũng,1
77,Nguyễn Ngọc Công,1
78,Nguyễn Thị Huyền Trân,0
79,Huỳnh Thị Triều,1
80,Phan Thị Mỹ Phương,0
81,Tào Viễn Hoàng Anh,1
82,Nguyễn Đức Tín,1
83,Phan Thị Cẩm Tiên,0
84,Nguyễn Anh Kiệt,1
85,Huỳnh Mai Thảo Nguyên,0
86,Đinh Thị Huỳnh Như,0
87,Trần Hoàng Anh,1
88,Huỳnh Thị Yến Nhi,0
89,Lê Tuấn Sang,1
90,Lai Thị Thu Huyền,0
91,Nguyễn Trà Kim Ngân,0
92,Danh Đặng Hải Đăng,1
93,Hoàng Trọng Khánh,1
94,Nguyễn Thanh Thảo,1
95,Trần Thanh Toàn,1
96,Nguyễn Nhựt Tân,1
97,Võ Thị Cẩm Tú,0
98,Lý Ái Liên,0
99,Danh Thị Kiều Diễm,0
100,Trần Minh Thiên,1
101,Lê Văn Hùng,1
102,Đinh Hồng Phi,1
103,Phan Thanh Hiếu,1
104,Phan Minh Thoại,1
105,Võ Minh Tiến,1
106,Nguyễn Hải Thắng,1
107,Trịnh Công Danh,1
108,Đỗ Mạnh Hùng,1
109,Phạm Ngọc Thuận,1
110,Phạm Minh Thành,1
111,Nguyễn Song Luân,1
112,Bùi Ánh Xuân Tuyền,0
113,Trần Thiên Bảo,1
114,Nguyễn Việt Đức,1
115,Nguyễn Thị Thùy Dung,0
116,Phạm Quý Tài,1
117,Nguyễn Hoàng Huy,1
118,Dương Khánh Ngọc,0
119,Mai Văn Bình,1
120,Phan Ngọc Thạch,1
121,Trần Trọng Thức,1
122,Trần Sắc Lưu,1
123,Nguyễn Chí Cường,1
124,Nguyễn Phúc Chương,1
125,Nguyễn Công Quyết Tiến,1
126,Nguyễn Minh Hiếu,1
127,Nguyễn Nhật Tuấn,1
128,Lý Hoàng Phúc,1
129,Võ Đức Nhân,1
130,Nguyễn Duy Thái,1
131,Nguyễn Thị Kim Chi,0
132,Tô Thị Lệ Mai,0
133,Trần Anh Khoa,1
134,Nguyễn Dzoãn Hoàng Khánh Duy,1
135,Trần Quang Trường,1
136,Lê Đình Bảo,1
137,Võ Thị Thu Hà,0
138,Nguyễn Nhị Lam,1
139,Đặng Thùy Hương,0
140,Trương Thị Mỹ Hảo,0
141,Nguyễn Vũ Minh,1
142,Trần Thu Hiền,0
143,Võ Thị Thanh Thư,0
144,Nguyễn Phước Lộc,1
145,Lưu Nguyễn Sáng,1
146,Bùi Công Văn,1
147,Ka Thu Linh,0
148,Nguyễn Thị Phương,0
149,Bùi Nhật Tiến,1
150,Bùi Quang Trung,1
151,Ngô Hoàng Bảo Phúc,1
152,Lê Trần GiẢn Đơn,0
153,Lê Thị Ngọc Phương,0
154,Mạch Tuyết Trầm,0
155,Nguyễn Võ Đức Thắng,1
156,Nguyễn Thị Tú Trinh,0
157,Phan Thị Hải Huệ,1
158,Dương Thị Kim Thuận,0
159,Trần Thị Mỹ Nữ,0
160,Võ Tấn Việt,1
161,Nguyễn Nữ Châu Giang,0
162,Bạch Hoàng Minh,1
163,Lê Thị Quỳnh Hương,0
164,Chu Thị Huyền,0
165,Võ Huỳnh Anh,0
166,Trần Nguyễn Hồng Quân,1
167,Nguyễn Thị Cẩm Bình,0
168,Nguyễn Thế Anh,1
169,Nguyễn Anh Tuấn,1
170,Huỳnh Đức,1
171,Nguyễn Ngọc Tấn Tài,1
172,Võ Lê Minh Trí,1
173,Đoàn Thị Hồng Nhung,0
174,Nguyễn Thị Thu Mơ,0
175,Nguyễn Thị Anh Trâm,0
176,Phạm Hoàng Huân,1
177,Đặng Như Sang,0
178,Lương Văn Giàu,1
179,Lê Khắc Nguyên Thiên,0
